iter	Passed	Remaining
400	29643	4509
401	29728	4437
402	29779	4359
403	29872	4288
404	29958	4216
405	30038	4143
406	30123	4070
407	30201	3997
408	30275	3923
409	30344	3848
410	30395	3771
411	30479	3699
412	30548	3624
413	30635	3551
414	30712	3478
415	30781	3403
416	30861	3330
417	30926	3255
418	30969	3178
419	31041	3104
420	31123	3031
421	31216	2958
422	31306	2886
423	31365	2811
424	31453	2738
425	31501	2662
426	31553	2586
427	31596	2510
428	31665	2435
429	31761	2363
430	31840	2290
431	31916	2216
432	31963	2140
433	32008	2065
434	32086	1991
435	32169	1918
436	32221	1843
437	32306	1770
438	32368	1695
439	32437	1621
440	32487	1547
441	32535	1472
442	32639	1399
443	32729	1326
444	32812	1253
445	32878	1179
446	32951	1105
447	33028	1032
448	33106	958
449	33176	884
450	33251	811
451	33315	737
452	33357	662
453	33420	588
454	33509	515
455	33557	441
456	33601	367
457	33667	294
458	33740	220
459	33826	147
460	33886	73
461	33978	0
