iter	RMSE
154	0.7233754183
155	0.7232759797
156	0.7232134851
157	0.7231688963
158	0.7229144704
159	0.7228906152
160	0.7228361367
161	0.7228106658
162	0.7226423416
163	0.7226135535
164	0.7225676327
165	0.722448871
166	0.7224406086
167	0.7224371004
168	0.7224286692
169	0.722345985
170	0.7223238347
171	0.7222297796
172	0.7220191755
173	0.7220014344
174	0.7219281555
175	0.721899316
176	0.7218780952
177	0.7218688931
178	0.7217532104
179	0.7217362502
180	0.7215983259
181	0.7214962392
182	0.721420214
183	0.7214150725
184	0.7213854022
185	0.7213505765
186	0.7212467468
187	0.721200884
188	0.7210777205
189	0.7210432205
190	0.7210021131
191	0.7209980491
192	0.7209956367
193	0.7209919389
194	0.7208601222
195	0.7208066196
196	0.7208035235
197	0.7207844516
198	0.7207449283
199	0.7206944448
200	0.7206611525
201	0.7204699117
202	0.7203487801
203	0.7203280851
204	0.7203130624
205	0.7203074245
206	0.7203069542
207	0.7202211762
208	0.7200976415
209	0.7199939008
210	0.7199643609
211	0.7199632041
212	0.719954176
213	0.7198723905
214	0.7198215884
215	0.7197753718
216	0.7197001165
217	0.7195977173
218	0.7195438558
219	0.7195413304
220	0.7194570562
221	0.7194120097
222	0.7194082936
223	0.7193559629
224	0.7192657091
225	0.7192060621
226	0.7190741009
227	0.7190167192
228	0.7190010991
229	0.7189866248
230	0.7189730159
231	0.718775445
232	0.7187571798
233	0.7186900432
234	0.7186869397
235	0.7186777757
236	0.7186717082
237	0.7186715698
238	0.7186675364
239	0.7186648436
240	0.7186482998
241	0.718636415
242	0.7185389798
243	0.7185262987
244	0.7185244835
245	0.7185133358
246	0.7180364601
247	0.7180351707
248	0.7178781794
249	0.7178766103
250	0.7178297334
251	0.717814193
252	0.7176689563
253	0.7176508784
254	0.71762391
255	0.7176238443
256	0.7176124136
257	0.7175705112
258	0.717566614
259	0.7175521409
260	0.7174665647
261	0.7174616848
262	0.7174385689
263	0.7174352288
264	0.7174342739
265	0.7173834206
266	0.7173641176
267	0.7172989351
268	0.7172612077
269	0.7172062032
270	0.7171211674
271	0.7170931457
272	0.7166910426
273	0.7166878975
274	0.7166842046
275	0.7164956933
276	0.7163941395
277	0.7163936829
278	0.716393375
279	0.7163747133
280	0.7162852099
281	0.716281985
282	0.7162633229
283	0.7161590849
284	0.7161301897
285	0.716092036
286	0.7160839096
287	0.7159908628
288	0.7154333352
289	0.7153927178
290	0.7153799631
291	0.7153768394
292	0.715362153
293	0.7148319919
294	0.7148002288
295	0.7146483018
296	0.7145588607
297	0.7144542105
298	0.7144423022
299	0.7144251734
300	0.7143559762
301	0.7142893359
302	0.7142453288
303	0.7142038198
304	0.7141596506
305	0.7141430867
306	0.714141289
307	0.7141400997
308	0.714131127
309	0.7141272067
310	0.7139415936
311	0.7138925789
312	0.7137702958
313	0.7137541406
314	0.7137474612
315	0.7137223714
316	0.7137011257
317	0.7136323497
318	0.7135711817
319	0.7135700738
320	0.713569319
321	0.713557008
322	0.7135564619
323	0.7135512615
324	0.713513507
325	0.7134827121
326	0.7133592718
327	0.7133119926
328	0.7133095907
329	0.713298499
330	0.7132573827
331	0.713180676
332	0.7131717297
333	0.7130821442
334	0.7130671018
335	0.7130663137
336	0.7130208827
337	0.7129558987
338	0.7129514017
339	0.7128987327
340	0.7128898659
341	0.7128890227
342	0.7127546937
343	0.7127540743
344	0.7127436268
345	0.712713375
346	0.7127128963
347	0.7126850341
348	0.7126788082
349	0.7126682959
350	0.7126435893
351	0.7126147896
352	0.7126067413
353	0.7124173172
354	0.7122458407
355	0.7120975549
356	0.7120370494
357	0.7119850911
358	0.7119563212
359	0.7119478013
360	0.7116523919
361	0.7115678024
362	0.7114944532
363	0.7114893577
364	0.7114001481
365	0.7106810048
366	0.7105423186
367	0.7105408469
368	0.710413778
369	0.7103694396
370	0.7103596731
371	0.7103591715
372	0.7103534305
373	0.7103504722
374	0.7102809275
375	0.7102614549
376	0.7102506021
377	0.7101168293
378	0.710105182
379	0.7100439748
380	0.7100393966
381	0.7100194712
382	0.7100062344
383	0.7099543332
384	0.7094588291
385	0.7094323603
386	0.7094198837
387	0.7094057393
388	0.7093989586
389	0.7093960795
390	0.7093873032
391	0.7093775598
392	0.7093598765
393	0.709347996
394	0.709260748
395	0.7092570009
396	0.7092311565
397	0.7092052255
398	0.7091225258
399	0.7090561458
400	0.7090486378
401	0.7081634349
402	0.7081569097
403	0.7081142427
404	0.7080985702
405	0.7080965933
406	0.7080134783
407	0.7080016152
408	0.7079951112
409	0.7079849578
410	0.7079774753
411	0.7079356941
412	0.707910036
413	0.707722843
414	0.7076435548
415	0.7076248901
416	0.7076018711
417	0.7075921851
418	0.7075874432
419	0.7075434072
420	0.7075173558
421	0.7075054549
422	0.7074750483
423	0.7074719061
424	0.7074568616
425	0.7073747953
426	0.7073705388
427	0.7073668158
428	0.707172116
429	0.7070701274
430	0.7068427092
431	0.7068000221
432	0.706794126
433	0.7067897238
434	0.7067873972
435	0.7067113059
436	0.7067089058
437	0.7066938839
438	0.7066768874
439	0.7066704595
440	0.7066667423
441	0.7066648114
442	0.7066601027
443	0.7066309439
444	0.7065872112
445	0.7065835561
446	0.706434153
447	0.7064200921
448	0.7063994863
449	0.7063877963
450	0.7063747707
451	0.7063704299
452	0.7063670552
453	0.7063508568
454	0.7063434377
455	0.7063404265
456	0.7063402355
457	0.7063017106
458	0.7062860783
459	0.7062458916
460	0.7062197176
461	0.7061383767
